FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax,OptDepGate,OptArrGate
341,AA2207,N,DFW,SFO,1735,1840,1055,1120,1721,1837,1041.0,1117.0,2.0,Domestic,89,0,,A28,2016-05-02 12:00:00,2016-05-02 17:35:00,2016-05-02 11:56:00,2016-05-02 17:21:00,1140,1355,2016-05-02 18:56,2016-05-02 22:21,N122NN,61,,
342,AA2208,N,DFW,CLE,2055,2125,1255,1285,2054,2125,1254.0,1285.0,2.0,Domestic,114,0,,C17,2016-05-02 18:55:00,2016-05-02 20:55:00,2016-05-02 18:53:00,2016-05-02 20:54:00,1375,115,2016-05-02 22:53,2016-05-03 01:54,N570AA,36,,
343,AA2208,Y,CLE,DFW,1347,1440,827,880,1335,1433,815.0,873.0,2.0,Domestic,0,99,C24,,2016-05-02 14:40:00,2016-05-02 18:11:00,2016-05-02 14:33:00,2016-05-02 17:46:00,1180,1331,2016-05-02 19:33,2016-05-02 21:46,N570AA,51,,
344,AA2209,N,DFW,OMA,800,900,480,540,755,854,475.0,534.0,2.0,,70,0,,C12,2016-05-02 06:03:00,2016-05-02 08:00:00,2016-05-02 05:57:00,2016-05-02 07:55:00,663,780,2016-05-02 10:57,2016-05-02 12:55,N955U,80,,
345,AA2210,N,DFW,SAT,1958,2028,1198,1228,1933,2028,1173.0,1228.0,2.0,,127,0,,C26,2016-05-02 18:45:00,2016-05-02 19:58:00,2016-05-02 18:30:00,2016-05-02 19:33:00,1425,58,2016-05-02 23:30,2016-05-03 00:33,N7548A,23,,
346,AA2211,Y,SNA,DFW,1900,2030,1140,1230,1900,2027,1140.0,1227.0,2.0,Domestic,0,102,A13,,2016-05-02 20:30:00,2016-05-02 21:47:00,2016-05-02 20:27:00,2016-05-02 21:41:00,90,287,2016-05-03 01:27,2016-05-03 04:41,N928AN,48,,
347,AA2212,Y,STL,DFW,1549,1645,949,1005,1551,1643,951.0,1003.0,2.0,Domestic,0,94,C10,,2016-05-02 16:45:00,2016-05-02 18:25:00,2016-05-02 16:43:00,2016-05-02 18:17:00,1305,1405,2016-05-02 21:43,2016-05-02 23:17,N9402W,56,,
348,AA2213,Y,LGA,DFW,510,640,310,400,510,642,310.0,402.0,2.0,Domestic,0,107,A8,,2016-05-02 06:40:00,2016-05-02 11:03:00,2016-05-02 06:42:00,2016-05-02 10:50:00,700,903,2016-05-02 11:42,2016-05-02 14:50,N970NN,43,,
349,AA2214,N,DFW,ABQ,1325,1430,805,870,1331,1424,811.0,864.0,2.0,Domestic,69,0,,C22,2016-05-02 10:37:00,2016-05-02 13:25:00,2016-05-02 10:59:00,2016-05-02 13:31:00,997,1105,2016-05-02 16:59,2016-05-02 18:31,N955U,81,,
350,AA2214,Y,ABQ,DFW,800,900,480,540,755,854,475.0,534.0,2.0,Domestic,0,49,C12,,2016-05-02 09:00:00,2016-05-02 09:57:00,2016-05-02 08:54:00,2016-05-02 09:57:00,840,957,2016-05-02 13:54,2016-05-02 15:57,N955U,101,,
351,AA221,Y,YYC,DFW,915,1025,555,625,913,1022,553.0,622.0,2.0,,0,150,C28,,2016-05-02 10:25:00,2016-05-02 13:18:00,2016-05-02 10:22:00,2016-05-02 13:04:00,925,1158,2016-05-02 15:22,2016-05-02 19:04,N4032T,0,,
352,AA2222,N,DFW,AUS,1530,1645,930,1005,1521,1648,921.0,1008.0,2.0,Domestic,94,0,,A21,2016-05-02 14:26:00,2016-05-02 15:30:00,2016-05-02 14:26:00,2016-05-02 15:21:00,1166,1230,2016-05-02 19:26,2016-05-02 20:21,N907NN,56,,
353,AA2222,Y,AUS,DFW,1052,1235,652,755,1111,1229,671.0,749.0,2.0,Domestic,0,78,A15,,2016-05-02 12:35:00,2016-05-02 13:39:00,2016-05-02 12:29:00,2016-05-02 13:41:00,1055,1119,2016-05-02 17:29,2016-05-02 18:41,N907NN,72,,
354,AA2226,Y,TUS,DFW,1235,1355,755,835,1221,1353,741.0,833.0,2.0,Domestic,0,82,C28,,2016-05-02 13:55:00,2016-05-02 14:18:00,2016-05-02 13:53:00,2016-05-02 14:10:00,1135,1278,2016-05-02 18:53,2016-05-02 21:10,N9621A,68,,
355,AA2228,Y,SMF,DFW,752,905,472,545,744,903,464.0,543.0,2.0,Domestic,0,61,A13,,2016-05-02 09:05:00,2016-05-02 10:52:00,2016-05-02 09:03:00,2016-05-02 10:57:00,845,1072,2016-05-02 14:03,2016-05-02 17:57,N839NN,89,,
356,AA2228,N,DFW,SMF,1725,1850,1045,1130,1657,1847,1017.0,1127.0,2.0,Domestic,75,0,,A21,2016-05-02 11:55:00,2016-05-02 17:25:00,2016-05-02 11:53:00,2016-05-02 16:57:00,1135,1345,2016-05-02 18:53,2016-05-02 21:57,N839NN,75,,
357,AA222,N,DFW,SNA,1920,2015,1160,1215,1919,2013,1159.0,1213.0,2.0,,47,0,,A14,2016-05-02 14:25:00,2016-05-02 19:20:00,2016-05-02 14:31:00,2016-05-02 19:19:00,1285,20,2016-05-02 21:31,2016-05-03 00:19,N978NN,103,,
358,AA2233,Y,MEX,DFW,1554,1715,954,1035,1526,1713,926.0,1033.0,2.0,,0,150,A15,,2016-05-02 17:15:00,2016-05-02 19:54:00,2016-05-02 17:13:00,2016-05-02 19:44:00,1335,54,2016-05-02 22:13,2016-05-03 00:44,N815NN,0,,
359,AA2235,Y,DCA,DFW,1712,1850,1032,1130,1711,1901,1031.0,1141.0,2.0,Domestic,0,77,A9,,2016-05-02 18:50:00,2016-05-02 22:47:00,2016-05-02 19:01:00,2016-05-02 22:55:00,1430,167,2016-05-03 00:01,2016-05-03 02:55,N854NN,73,,
360,AA2237,N,DFW,DCA,2135,2205,1295,1325,2147,2205,1307.0,1325.0,,,0,0,,A18,2016-05-02 19:04:00,2016-05-02 21:35:00,2016-05-02 18:58:00,2016-05-02 21:47:00,1384,155,2016-05-02 22:58,2016-05-03 02:47,N904NN,20,,
361,AA2241,N,DFW,AUS,851,955,531,595,837,951,517.0,591.0,2.0,Domestic,45,0,,A18,2016-05-02 07:45:00,2016-05-02 08:51:00,2016-05-02 07:42:00,2016-05-02 08:37:00,765,831,2016-05-02 12:42,2016-05-02 13:37,N144AN,105,,
362,AA2241,Y,LAX,DFW,851,955,531,595,837,951,517.0,591.0,2.0,Domestic,0,80,A18,,2016-05-02 09:55:00,2016-05-02 11:16:00,2016-05-02 09:51:00,2016-05-02 11:18:00,895,1096,2016-05-02 14:51,2016-05-02 18:18,N144AN,70,,
363,AA2242,N,DFW,BNA,1945,2025,1185,1225,1934,2018,1174.0,1218.0,2.0,Domestic,124,0,,C14,2016-05-02 17:40:00,2016-05-02 19:45:00,2016-05-02 17:34:00,2016-05-02 19:34:00,1360,45,2016-05-02 22:34,2016-05-03 00:34,N9616G,26,,
364,AA2242,Y,BNA,DFW,1444,1510,884,910,1435,1516,875.0,916.0,2.0,Domestic,0,83,C19,,2016-05-02 15:10:00,2016-05-02 16:59:00,2016-05-02 15:16:00,2016-05-02 16:52:00,1210,1319,2016-05-02 20:16,2016-05-02 21:52,N9616G,67,,
365,AA2244,N,DFW,IAH,617,715,377,435,609,710,369.0,430.0,2.0,,77,0,,C19,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 04:59:00,2016-05-02 06:09:00,600,677,2016-05-02 09:59,2016-05-02 11:09,N9405T,73,,
366,AA2248,N,DFW,BWI,1739,1850,1059,1130,1735,1853,1055.0,1133.0,2.0,Domestic,94,0,,C21,2016-05-02 15:05:00,2016-05-02 17:39:00,2016-05-02 15:12:00,2016-05-02 17:35:00,1145,1359,2016-05-02 19:12,2016-05-02 22:35,N473AA,56,,
367,AA2248,Y,BWI,DFW,926,1020,566,620,946,1034,586.0,634.0,2.0,Domestic,0,105,C6,,2016-05-02 10:20:00,2016-05-02 14:21:00,2016-05-02 10:34:00,2016-05-02 14:12:00,920,1101,2016-05-02 15:34,2016-05-02 18:12,N473AA,45,,
368,AA2251,N,DFW,BOS,1425,1455,865,895,1428,1655,868.0,1015.0,2.0,,109,0,,A19,2016-05-02 11:03:00,2016-05-02 14:25:00,2016-05-02 11:00:00,2016-05-02 14:28:00,903,1165,2016-05-02 15:00,2016-05-02 19:28,N972AN,41,,
369,AA2252,Y,TUS,DFW,2057,2200,1257,1320,2048,2157,1248.0,1317.0,2.0,Domestic,0,61,C28,,2016-05-02 22:00:00,2016-05-02 22:24:00,2016-05-02 21:57:00,2016-05-02 22:17:00,180,324,2016-05-03 02:57,2016-05-03 05:17,N9409F,89,,
370,AA2255,Y,MCO,DFW,535,705,335,425,535,702,335.0,422.0,2.0,Domestic,0,114,A16,,2016-05-02 07:05:00,2016-05-02 10:43:00,2016-05-02 07:02:00,2016-05-02 10:31:00,725,883,2016-05-02 12:02,2016-05-02 14:31,N959NN,36,,
371,AA2256,Y,IAH,DFW,1456,1550,896,950,1500,1554,900.0,954.0,2.0,Domestic,0,98,C26,,2016-05-02 15:50:00,2016-05-02 16:59:00,2016-05-02 15:54:00,2016-05-02 17:00:00,1250,1319,2016-05-02 20:54,2016-05-02 22:00,N9401W,52,,
372,AA2256,N,DFW,IAH,1905,2015,1145,1215,1858,2018,1138.0,1218.0,2.0,Domestic,111,0,,C2,2016-05-02 17:43:00,2016-05-02 19:05:00,2016-05-02 17:43:00,2016-05-02 18:58:00,1363,5,2016-05-02 22:43,2016-05-02 23:58,N9401W,39,,
373,AA2258,Y,IAH,DFW,2052,2155,1252,1315,2047,2149,1247.0,1309.0,2.0,Domestic,0,106,C16,,2016-05-02 21:55:00,2016-05-02 23:06:00,2016-05-02 21:49:00,2016-05-02 22:48:00,175,246,2016-05-03 02:49,2016-05-03 03:48,N487AA,44,,
374,AA2259,N,DFW,BNA,2115,2145,1275,1305,2106,2145,1266.0,1305.0,2.0,Domestic,63,0,,C14,2016-05-02 19:09:00,2016-05-02 21:15:00,2016-05-02 19:07:00,2016-05-02 21:06:00,9,135,2016-05-03 00:07,2016-05-03 02:06,N9403W,87,,
375,AA2259,Y,BNA,DFW,1607,1640,967,1000,1551,1635,951.0,995.0,2.0,Domestic,0,75,C27,,2016-05-02 16:40:00,2016-05-02 18:29:00,2016-05-02 16:35:00,2016-05-02 18:04:00,1300,1409,2016-05-02 21:35,2016-05-02 23:04,N9403W,75,,
376,AA2260,Y,PSP,DFW,1606,1715,966,1035,1628,1721,988.0,1041.0,2.0,Domestic,0,87,A29,,2016-05-02 17:15:00,2016-05-02 18:23:00,2016-05-02 17:21:00,2016-05-02 18:24:00,1335,83,2016-05-02 22:21,2016-05-03 01:24,N857NN,63,,
377,AA2261,Y,PVR,DFW,1040,1155,640,715,1047,1229,647.0,749.0,,,0,0,C6,,2016-05-02 11:55:00,2016-05-02 14:36:00,2016-05-02 12:29:00,2016-05-02 15:18:00,1015,1176,2016-05-02 17:29,2016-05-02 20:18,N590AA,0,,
378,AA2263,N,DFW,CMH,940,1040,580,640,1011,1059,611.0,659.0,2.0,,75,0,,C8,2016-05-02 07:46:00,2016-05-02 09:40:00,2016-05-02 08:03:00,2016-05-02 10:11:00,706,880,2016-05-02 12:03,2016-05-02 15:11,N964TW,75,,
379,AA2264,Y,PHL,DFW,1850,2020,1130,1220,1825,2025,1105.0,1225.0,2.0,Domestic,0,107,A23,,2016-05-02 20:20:00,2016-05-03 00:37:00,2016-05-02 20:25:00,2016-05-03 00:34:00,80,277,2016-05-03 01:25,2016-05-03 04:34,N920NN,43,,
380,AA2267,Y,YYZ,DFW,1254,1340,774,820,1250,1401,770.0,841.0,2.0,,0,150,C26,,2016-05-02 13:40:00,2016-05-02 17:38:00,2016-05-02 14:01:00,2016-05-02 17:35:00,1120,1298,2016-05-02 19:01,2016-05-02 21:35,N470AA,0,,
381,AA2269,N,DFW,COS,910,1005,550,605,943,1027,583.0,627.0,2.0,,32,0,,C22,2016-05-02 06:12:00,2016-05-02 09:10:00,2016-05-02 06:13:00,2016-05-02 09:43:00,732,850,2016-05-02 12:13,2016-05-02 14:43,N980TW,118,,
382,AA2271,Y,PBI,DFW,1300,1410,780,850,1327,1419,807.0,859.0,2.0,Domestic,0,54,A11,,2016-05-02 14:10:00,2016-05-02 17:51:00,2016-05-02 14:19:00,2016-05-02 17:55:00,1150,1311,2016-05-02 19:19,2016-05-02 21:55,N922AN,96,,
383,AA2274,N,DFW,MSP,739,850,459,530,730,845,450.0,525.0,2.0,,89,0,,C30,2016-05-02 05:05:00,2016-05-02 07:39:00,2016-05-02 04:56:00,2016-05-02 07:30:00,605,759,2016-05-02 09:56,2016-05-02 12:30,N499AA,61,,
384,AA2275,Y,DSM,DFW,600,730,360,450,600,749,360.0,469.0,2.0,Domestic,0,123,C24,,2016-05-02 07:30:00,2016-05-02 09:19:00,2016-05-02 07:49:00,2016-05-02 09:27:00,750,859,2016-05-02 12:49,2016-05-02 14:27,N9621A,27,,
385,AA2275,N,DFW,DSM,1235,1355,755,835,1221,1353,741.0,833.0,2.0,Domestic,93,0,,C28,2016-05-02 10:29:00,2016-05-02 12:35:00,2016-05-02 10:19:00,2016-05-02 12:21:00,929,1055,2016-05-02 15:19,2016-05-02 17:21,N9621A,57,,
386,AA2276,Y,IND,DFW,1910,2025,1150,1225,1905,2021,1145.0,1221.0,2.0,Domestic,0,106,C17,,2016-05-02 20:25:00,2016-05-02 23:32:00,2016-05-02 20:21:00,2016-05-02 23:12:00,85,212,2016-05-03 01:21,2016-05-03 03:12,N9622A,44,,
387,AA2277,Y,ONT,DFW,1558,1700,958,1020,1617,1703,977.0,1023.0,2.0,Domestic,0,89,C7,,2016-05-02 17:00:00,2016-05-02 18:14:00,2016-05-02 17:03:00,2016-05-02 18:15:00,1320,74,2016-05-02 22:03,2016-05-03 01:15,N875NN,61,,
388,AA2280,Y,LAX,DFW,1556,1725,956,1045,1627,1737,987.0,1057.0,2.0,Domestic,0,103,A25,,2016-05-02 17:25:00,2016-05-02 18:52:00,2016-05-02 17:37:00,2016-05-02 18:55:00,1345,112,2016-05-02 22:37,2016-05-03 01:55,N134AN,47,,
389,AA2280,N,DFW,MCO,1618,1648,978,1008,1607,1648,967.0,1008.0,2.0,Domestic,113,0,,A14,2016-05-02 14:20:00,2016-05-02 16:18:00,2016-05-02 14:18:00,2016-05-02 16:07:00,1100,1278,2016-05-02 18:18,2016-05-02 21:07,N184AN,37,,
390,AA2283,Y,SAN,DFW,1755,1855,1075,1135,1748,1851,1068.0,1131.0,2.0,Domestic,0,81,A17,,2016-05-02 18:55:00,2016-05-02 20:06:00,2016-05-02 18:51:00,2016-05-02 19:56:00,1435,186,2016-05-02 23:51,2016-05-03 02:56,N145AN,69,,
391,AA2284,Y,MCO,DFW,1058,1215,658,735,1036,1214,636.0,734.0,2.0,Domestic,0,58,A14,,2016-05-02 12:15:00,2016-05-02 15:54:00,2016-05-02 12:14:00,2016-05-02 15:43:00,1035,1194,2016-05-02 17:14,2016-05-02 19:43,N934NN,92,,
392,AA2284,N,DFW,LAX,1119,1200,679,720,1100,1244,660.0,764.0,2.0,Domestic,41,0,,A25,2016-05-02 06:15:00,2016-05-02 11:19:00,2016-05-02 06:10:00,2016-05-02 11:00:00,795,979,2016-05-02 13:10,2016-05-02 16:00,N950AN,109,,
393,AA2286,N,DFW,AUS,1145,1245,705,765,1137,1244,697.0,764.0,2.0,Domestic,71,0,,C30,2016-05-02 10:39:00,2016-05-02 11:45:00,2016-05-02 10:34:00,2016-05-02 11:37:00,939,1005,2016-05-02 15:34,2016-05-02 16:37,N564AA,79,,
394,AA2286,Y,ORD,DFW,1138,1230,698,750,1130,1232,690.0,752.0,2.0,Domestic,0,125,C26,,2016-05-02 12:30:00,2016-05-02 14:56:00,2016-05-02 12:32:00,2016-05-02 14:36:00,1050,1196,2016-05-02 17:32,2016-05-02 19:36,N9681B,25,,
395,AA2288,N,DFW,IND,744,900,464,540,805,855,485.0,535.0,2.0,,50,0,,C21,2016-05-02 06:21:00,2016-05-02 07:44:00,2016-05-02 06:17:00,2016-05-02 08:05:00,621,764,2016-05-02 10:17,2016-05-02 13:05,N489AA,100,,
396,AA2289,N,DFW,SAN,1245,1410,765,850,1239,1407,759.0,847.0,2.0,,30,0,,A29,2016-05-02 07:49:00,2016-05-02 12:45:00,2016-05-02 07:46:00,2016-05-02 12:39:00,889,1065,2016-05-02 14:46,2016-05-02 17:39,N141NN,120,,
397,AA228,N,DFW,PHL,1606,1715,966,1035,1628,1721,988.0,1041.0,2.0,,93,0,,A29,2016-05-02 13:28:00,2016-05-02 16:06:00,2016-05-02 13:23:00,2016-05-02 16:28:00,1048,1266,2016-05-02 17:23,2016-05-02 21:28,N857NN,57,,
398,AA2292,Y,DTW,DFW,1934,2035,1174,1235,1928,2038,1168.0,1238.0,2.0,Domestic,0,94,A15,,2016-05-02 20:35:00,2016-05-03 00:16:00,2016-05-02 20:38:00,2016-05-03 00:01:00,95,256,2016-05-03 01:38,2016-05-03 04:01,N910NN,56,,
399,AA2293,Y,DCA,DFW,1908,2005,1148,1205,1919,2007,1159.0,1207.0,2.0,Domestic,0,50,A36,,2016-05-02 20:05:00,2016-05-02 23:57:00,2016-05-02 20:07:00,2016-05-02 23:55:00,65,237,2016-05-03 01:07,2016-05-03 03:55,N809NN,100,,
400,AA2296,Y,SAT,DFW,744,900,464,540,805,855,485.0,535.0,2.0,Domestic,0,66,C21,,2016-05-02 09:00:00,2016-05-02 10:14:00,2016-05-02 08:55:00,2016-05-02 10:16:00,840,914,2016-05-02 13:55,2016-05-02 15:16,N489AA,84,,
401,AA2296,N,DFW,SAT,1210,1305,730,785,1150,1305,710.0,785.0,2.0,Domestic,72,0,,C12,2016-05-02 10:57:00,2016-05-02 12:10:00,2016-05-02 10:53:00,2016-05-02 11:50:00,957,1030,2016-05-02 15:53,2016-05-02 16:50,N489AA,78,,
402,AA2298,N,DFW,SFO,1045,1200,645,720,1039,1156,639.0,716.0,2.0,,65,0,,A9,2016-05-02 05:15:00,2016-05-02 10:45:00,2016-05-02 05:09:00,2016-05-02 10:39:00,735,945,2016-05-02 12:09,2016-05-02 15:39,N157AA,85,,
403,AA2301,N,DFW,ORD,729,855,449,535,733,854,453.0,534.0,2.0,,112,0,,C26,2016-05-02 05:00:00,2016-05-02 07:29:00,2016-05-02 04:54:00,2016-05-02 07:33:00,600,749,2016-05-02 09:54,2016-05-02 12:33,N983TW,38,,
404,AA2302,Y,MSP,DFW,1420,1520,860,920,1410,1521,850.0,921.0,2.0,Domestic,0,114,C2,,2016-05-02 15:20:00,2016-05-02 17:41:00,2016-05-02 15:21:00,2016-05-02 17:38:00,1220,1361,2016-05-02 20:21,2016-05-02 22:38,N840NN,36,,
405,AA2302,N,DFW,MSP,2107,2150,1267,1310,2056,2148,1256.0,1308.0,2.0,Domestic,113,0,,A15,2016-05-02 18:30:00,2016-05-02 21:07:00,2016-05-02 18:30:00,2016-05-02 20:56:00,1410,127,2016-05-02 23:30,2016-05-03 01:56,N840NN,37,,
406,AA2303,N,DFW,ORD,939,1020,579,620,955,1039,595.0,639.0,2.0,,111,0,,C11,2016-05-02 07:05:00,2016-05-02 09:39:00,2016-05-02 07:00:00,2016-05-02 09:55:00,725,879,2016-05-02 12:00,2016-05-02 14:55,N486AA,39,,
407,AA2304,Y,IND,DFW,1730,1825,1050,1105,1742,1820,1062.0,1100.0,2.0,Domestic,0,99,C7,,2016-05-02 18:25:00,2016-05-02 21:30:00,2016-05-02 18:20:00,2016-05-02 21:10:00,1405,90,2016-05-02 23:20,2016-05-03 01:10,N9626F,51,,
408,AA2305,N,DFW,ORD,909,1040,549,640,1003,1053,603.0,653.0,2.0,,116,0,,C27,2016-05-02 06:40:00,2016-05-02 09:09:00,2016-05-02 07:25:00,2016-05-02 10:03:00,700,849,2016-05-02 12:25,2016-05-02 15:03,N9617R,34,,
409,AA2306,N,DFW,PBI,1906,1936,1146,1176,1915,1936,1155.0,1176.0,,,0,0,,C11,2016-05-02 16:52:00,2016-05-02 19:06:00,2016-05-02 16:52:00,2016-05-02 19:15:00,1252,6,2016-05-02 20:52,2016-05-03 00:15,N885NN,54,,
410,AA2307,Y,MIA,DFW,905,1035,545,635,905,1032,545.0,632.0,2.0,Domestic,0,101,A21,,2016-05-02 10:35:00,2016-05-02 14:26:00,2016-05-02 10:32:00,2016-05-02 14:06:00,935,1106,2016-05-02 15:32,2016-05-02 18:06,N368AA,49,,
411,AA2310,Y,SEA,DFW,1045,1200,645,720,1039,1156,639.0,716.0,2.0,Domestic,0,85,A9,,2016-05-02 12:00:00,2016-05-02 14:16:00,2016-05-02 11:56:00,2016-05-02 13:52:00,1020,1276,2016-05-02 16:56,2016-05-02 20:52,N157AA,65,,
412,AA2310,N,DFW,SEA,2110,2215,1270,1335,2106,2210,1266.0,1330.0,2.0,Domestic,126,0,,A23,2016-05-02 15:15:00,2016-05-02 21:10:00,2016-05-02 15:09:00,2016-05-02 21:06:00,1335,130,2016-05-02 22:09,2016-05-03 02:06,N157AA,24,,
413,AA2311,Y,ORD,DFW,1210,1340,730,820,1218,1339,738.0,819.0,2.0,Domestic,0,116,C27,,2016-05-02 13:40:00,2016-05-02 16:02:00,2016-05-02 13:39:00,2016-05-02 15:55:00,1120,1262,2016-05-02 18:39,2016-05-02 20:55,N480AA,34,,
414,AA2312,N,DFW,ORD,1255,1355,775,835,1256,1353,776.0,833.0,2.0,,124,0,,C19,2016-05-02 10:23:00,2016-05-02 12:55:00,2016-05-02 10:29:00,2016-05-02 12:56:00,923,1075,2016-05-02 15:29,2016-05-02 17:56,N966TW,26,,
415,AA2313,Y,MFE,DFW,752,855,472,535,745,851,465.0,531.0,2.0,Domestic,0,91,C27,,2016-05-02 08:55:00,2016-05-02 10:34:00,2016-05-02 08:51:00,2016-05-02 10:36:00,835,934,2016-05-02 13:51,2016-05-02 15:36,N470AA,59,,
416,AA2313,N,DFW,MFE,1254,1340,774,820,1250,1401,770.0,841.0,2.0,Domestic,61,0,,C26,2016-05-02 11:15:00,2016-05-02 12:54:00,2016-05-02 11:11:00,2016-05-02 12:50:00,975,1074,2016-05-02 16:11,2016-05-02 17:50,N470AA,89,,
417,AA2316,Y,PHL,DFW,918,1015,558,615,923,1025,563.0,625.0,2.0,Domestic,0,106,A29,,2016-05-02 10:15:00,2016-05-02 14:29:00,2016-05-02 10:25:00,2016-05-02 14:20:00,915,1109,2016-05-02 15:25,2016-05-02 18:20,N920NN,44,,
418,AA2316,N,DFW,PHL,1817,1847,1097,1127,1825,2025,1105.0,1225.0,2.0,Domestic,102,0,,A23,2016-05-02 15:30:00,2016-05-02 18:17:00,2016-05-02 15:31:00,2016-05-02 18:25:00,1170,1397,2016-05-02 19:31,2016-05-02 23:25,N920NN,48,,
419,AA2318,N,DFW,DEN,1057,1205,657,725,1042,1220,642.0,740.0,2.0,,67,0,,A29,2016-05-02 07:55:00,2016-05-02 10:57:00,2016-05-02 07:51:00,2016-05-02 10:42:00,835,957,2016-05-02 13:51,2016-05-02 15:42,N153AN,83,,
420,AA2319,Y,ORD,DFW,1405,1535,845,935,1405,1532,845.0,932.0,2.0,Domestic,0,130,C8,,2016-05-02 15:35:00,2016-05-02 17:58:00,2016-05-02 15:32:00,2016-05-02 17:57:00,1235,1378,2016-05-02 20:32,2016-05-02 22:57,N353AA,20,,
421,AA2320,Y,ORD,DFW,530,700,330,420,530,657,330.0,417.0,2.0,Domestic,0,135,C15,,2016-05-02 07:00:00,2016-05-02 09:25:00,2016-05-02 06:57:00,2016-05-02 09:23:00,720,865,2016-05-02 11:57,2016-05-02 14:23,N434AA,15,,
422,AA2321,Y,MCO,DFW,1935,2030,1175,1230,1916,2025,1156.0,1225.0,2.0,Domestic,0,92,C8,,2016-05-02 20:30:00,2016-05-03 00:08:00,2016-05-02 20:25:00,2016-05-03 00:02:00,90,248,2016-05-03 01:25,2016-05-03 04:02,N131NN,58,,
423,AA2322,Y,PBI,DFW,1920,2015,1160,1215,1919,2013,1159.0,1213.0,2.0,Domestic,0,92,A14,,2016-05-02 20:15:00,2016-05-02 23:59:00,2016-05-02 20:13:00,2016-05-02 23:46:00,75,239,2016-05-03 01:13,2016-05-03 03:46,N978NN,58,,
424,AA2324,Y,RIC,DFW,1300,1345,780,825,1254,1347,774.0,827.0,2.0,Domestic,0,43,C2,,2016-05-02 13:45:00,2016-05-02 17:32:00,2016-05-02 13:47:00,2016-05-02 17:35:00,1125,1292,2016-05-02 18:47,2016-05-02 21:35,N9630A,107,,
425,AA2324,N,DFW,RIC,2035,2200,1235,1320,2049,2154,1249.0,1314.0,2.0,Domestic,111,0,,C15,2016-05-02 18:16:00,2016-05-02 20:35:00,2016-05-02 18:16:00,2016-05-02 20:49:00,1336,95,2016-05-02 22:16,2016-05-03 01:49,N9630A,39,,
426,AA2327,N,DFW,ORD,2130,2200,1290,1320,2111,2200,1271.0,1320.0,,,0,0,,C2,2016-05-02 18:55:00,2016-05-02 21:30:00,2016-05-02 18:48:00,2016-05-02 21:11:00,1435,150,2016-05-02 23:48,2016-05-03 02:11,N493AA,13,,
427,AA2328,Y,BOS,DFW,1552,1655,952,1015,1544,1706,944.0,1026.0,2.0,Domestic,0,119,A24,,2016-05-02 16:55:00,2016-05-02 21:34:00,2016-05-02 17:06:00,2016-05-02 21:29:00,1315,94,2016-05-02 22:06,2016-05-03 01:29,N677AN,31,,
428,AA2329,Y,ORD,DFW,1610,1740,970,1060,1610,1733,970.0,1053.0,2.0,Domestic,0,137,C14,,2016-05-02 17:40:00,2016-05-02 20:02:00,2016-05-02 17:33:00,2016-05-02 20:23:00,1360,62,2016-05-02 22:33,2016-05-03 01:23,N437AA,13,,
429,AA232,N,DFW,ATL,2055,2125,1255,1285,2120,2125,1280.0,1285.0,2.0,Domestic,120,0,,A28,2016-05-02 19:25:00,2016-05-02 20:55:00,2016-05-02 19:46:00,2016-05-02 21:20:00,1405,115,2016-05-02 23:46,2016-05-03 02:20,N125AA,30,,
430,AA232,Y,ATL,DFW,1400,1530,840,930,1400,1552,840.0,952.0,2.0,Domestic,0,110,A14,,2016-05-02 15:30:00,2016-05-02 18:37:00,2016-05-02 15:52:00,2016-05-02 18:56:00,1230,1357,2016-05-02 20:52,2016-05-02 22:56,N125AA,40,,
431,AA2331,N,DFW,ORD,1655,1755,1015,1075,1644,1751,1004.0,1071.0,2.0,,131,0,,C16,2016-05-02 14:23:00,2016-05-02 16:55:00,2016-05-02 14:13:00,2016-05-02 16:44:00,1163,1315,2016-05-02 19:13,2016-05-02 21:44,N968TW,19,,
432,AA2332,Y,ORD,DFW,600,730,360,450,600,741,360.0,461.0,2.0,Domestic,0,136,C20,,2016-05-02 07:30:00,2016-05-02 09:53:00,2016-05-02 07:41:00,2016-05-02 09:57:00,750,893,2016-05-02 12:41,2016-05-02 14:57,N481AA,14,,
433,AA2333,Y,ORF,DFW,1700,1830,1020,1110,1700,1824,1020.0,1104.0,2.0,Domestic,0,70,C24,,2016-05-02 18:30:00,2016-05-02 22:27:00,2016-05-02 18:24:00,2016-05-02 22:09:00,1410,147,2016-05-02 23:24,2016-05-03 02:09,N984TW,80,,
434,AA2334,N,DFW,ORD,1428,1510,868,910,1421,1530,861.0,930.0,2.0,,123,0,,C10,2016-05-02 11:55:00,2016-05-02 14:28:00,2016-05-02 11:51:00,2016-05-02 14:21:00,1015,1168,2016-05-02 16:51,2016-05-02 19:21,N9618A,27,,
